chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.51690298,0.296130596,0.287951442,0.464378256,0.323128815,0.268197391,0.702344658,0.443316873,0.686826088,0.209907473,0.529805423,0.500436799,0.565783035,0.410581704,0.303430044,0.237554275,0.675211829,0.479707901,0.663643118,0.45688869,0.42431383,0.796012549,0.386404753,0.446574735,0.408796947,0.193186925,0
0.597166438,0.116701263,0.442589896,0.657151668,0.508200658,0.300657226,0.701928779,0.347362009,0.633048243,0.217647638,0.466041907,0.40488453,0.542956465,0.308195565,0.380153454,0.50459197,0.385885301,0.536529573,0.431851441,0.655836118,0.400682488,0.504031006,0.421019504,0.433427773,0.197221644,0.287835792,0
0.341343061,0.131306689,0.279544274,0.337267275,0.310882276,0.194871029,0.62055153,0.210373218,0.677440529,0.297885823,0.621057772,0.56892661,0.444820829,0.425467324,0.610619382,0.424459717,0.605427336,0.500844865,0.537336201,0.514819248,0.559782691,0.514758049,0.543262769,0.530229978,0.3959759,0.350435021,0
0.580521222,0.145073606,0.796867098,0.850497416,0.829676497,0.628821755,0.682769358,0.134682115,0.71473893,0.210579306,0.581781282,0.608719367,0.432339163,0.260263574,0.485335847,0.72568985,0.341653251,0.423354767,0.471005244,0.636925093,0.576468182,0.55242482,0.551981286,0.581638434,0.492077146,0.47999724,0
0.519560282,0.146981958,0.301464954,0.475444172,0.322916608,0.264108404,0.671652559,0.431218755,0.506081785,0.228865339,0.75390149,0.67136601,0.540105835,0.317277852,0.345606653,0.547410895,0.730223852,0.396102921,0.514609191,0.549546013,0.675858176,0.65878531,0.448533603,0.594165712,0.531465962,0.303922905,0
0.565702425,0.171667609,0.83502367,0.578692086,0.71466625,0.876928964,0.665552826,0.055109663,0.455005922,0.41666674,0.35752852,0.965176799,0.312445364,0.390038331,0.250632463,0.509259708,0.686268005,0.226675118,0.658239287,0.452432372,0.612808436,0.556478089,0.58276996,0.303153981,0.504903879,0.311531733,0
0.689511458,0.089143041,0.443535046,0.578035741,0.499371758,0.450273998,0.617486401,0.326819816,0.499483241,0.326872723,0.586432046,0.631633555,0.552206703,0.385708076,0.635827527,0.312743534,0.696380299,0.455460081,0.315782451,0.499377531,0.563862964,0.537816509,0.364796703,0.483246709,0.342579164,0.224662474,0
0.640930758,0.231554117,0.358229634,0.57468872,0.447475183,0.271553535,0.717481517,0.365841429,0.569955575,0.394238812,0.719566784,0.760248881,0.368665254,0.465760002,0.51511586,0.569923582,0.684762126,0.490378891,0.636694509,0.356809072,0.66120229,0.744942923,0.505624321,0.341114698,0.45802611,0.197157921,0
0.614088947,0.182513604,0.482627555,0.682965637,0.550669846,0.336123118,0.777301142,0.460735344,0.392508105,0.265948397,0.718169027,0.206217386,0.299081238,0.399600607,0.380010828,0.480377658,0.498986857,0.567477174,0.191287447,0.610937129,0.300969973,0.685089417,0.461459621,0.707348904,0.584633629,0.682681738,0
0.578615403,0.28382684,0.624781857,0.600322322,0.631710327,0.582414555,0.818399156,0.230694548,0.195863416,0.34373799,0.221962632,0.77475171,0.266747163,0.304610879,0.181373017,0.54621484,0.813929575,0.214722243,0.377842808,0.651883537,0.711493015,0.413264224,0.662781753,0.675839477,0.127034005,0.449674441,0
0.527493832,0.395806292,0.405749197,0.479236063,0.445890178,0.294458395,0.851271592,0.494925461,0.139870686,0.295903062,0.325112752,0.361725033,0.342064472,0.225236381,0.625063019,0.384324355,0.730439813,0.289806904,0.53963277,0.586232725,0.529002878,0.753164148,0.333550216,0.870384986,0.404143954,0.501865658,0
0.66515032,0.073486253,0.520542572,0.808716182,0.680931506,0.317006103,0.649287787,0.288310176,0.747219002,0.225921162,0.84416992,0.591930698,0.499456501,0.359695616,0.472437332,0.662971834,0.62473943,0.528298938,0.384571399,0.57016175,0.412254194,0.421492371,0.296697596,0.483320016,0.198817836,0.304186997,0
